ts_code
000001.SZ
000002.SZ
000333.SZ
000858.SZ
000651.SZ
600000.SH
600009.SH
600016.SH
600026.SH
600030.SH
600031.SH
600036.SH
600048.SH
600050.SH
600100.SH
600105.SH
600109.SH
600115.SH
600120.SH
600132.SH
600150.SH
600161.SH
600170.SH
600176.SH
600188.SH
600196.SH
600208.SH
600219.SH
600233.SH
600276.SH
600297.SH
600309.SH
600310.SH
600319.SH
600325.SH
600332.SH
600383.SH
600390.SH
600406.SH
600415.SH
600426.SH
600428.SH
600436.SH
600438.SH
600439.SH
600460.SH
600461.SH
600519.SH
600547.SH
600570.SH
600583.SH
600585.SH
600588.SH
600595.SH
600606.SH
600637.SH
600655.SH
600674.SH
600682.SH
600690.SH
600703.SH
600711.SH
600718.SH
600730.SH
600741.SH
600760.SH
600776.SH
600795.SH
600802.SH
600811.SH
600815.SH
600819.SH
600827.SH
600831.SH
600848.SH
600879.SH
600880.SH
600886.SH
600893.SH
600900.SH
600905.SH
600909.SH
600917.SH
600919.SH
600926.SH
600931.SH
600933.SH
600938.SH
600941.SH
600999.SH
601012.SH
601018.SH
601021.SH
601066.SH
601088.SH
601138.SH
601166.SH
601169.SH
601186.SH
601198.SH
601211.SH
601225.SH
601228.SH
601229.SH
601236.SH
601288.SH
601318.SH
601319.SH
601328.SH
601336.SH
601360.SH
601377.SH
601390.SH
601398.SH
601601.SH
601608.SH
601618.SH
601628.SH
601633.SH
601658.SH
601668.SH
601688.SH
601699.SH
601728.SH
601766.SH
601788.SH
601800.SH
601816.SH
601818.SH
601828.SH
601838.SH
601857.SH
601866.SH
601872.SH
601877.SH
601878.SH
601888.SH
601899.SH
601901.SH
601919.SH
601933.SH
601939.SH
601958.SH
601966.SH
601988.SH
601989.SH
